cid,nlane,turn,dnroad,geom,len,Up_Node,Down_Node,is_in,Count,Count1
4674_4655,2,S#L#R#U,4655_4624#4655_4690#4655_4639#4655_4674,"LINESTRING (118.718246538 30.942534574, 118.718313901 30.9424607030001, 118.718839544 30.941902558, 118.71975121 30.940874013, 118.719954234 30.940641536)",265.8845385,4674,4655,1.0,4139.0,4093.0
4674_4742,0,L#U#R,4742_4794#4742_4674#4742_4690,"LINESTRING (118.718246538 30.942534574, 118.718855489 30.9430645580001, 118.71927152 30.943371815, 118.720497145 30.944213538, 118.721537826 30.9448980450001)",409.9014276,4674,4742,1.0,4166.0,4093.0
4680_4671,3,S#L#R#U,4671_4660#4671_4819#4671_4605#4671_4680,"LINESTRING (118.733071939 30.9426763230001, 118.734234773 30.94244317, 118.737292012 30.9418301260001)",414.0463643,4680,4671,1.0,4176.0,4175.0
4680_4855,0,R#U#L,4855_4819#4855_4680#4855_4920,"LINESTRING (118.733071939 30.9426763230001, 118.733605778 30.9440778250001, 118.734111289 30.9452022900001, 118.734433909 30.946017668, 118.734451353 30.9461169210001, 118.734493164 30.946354812, 118.734507403 30.947142903, 118.734554292 30.9481941270001, 118.734658861 30.948450655, 118.735008726 30.9488618130001)",721.2527754,4680,4855,1.0,4175.0,4175.0
4689_4660,3,S#R#U,4660_4589#4660_4671#4660_4689,"LINESTRING (118.745070627 30.9427514440001, 118.744588001 30.9417099240001, 118.744464839 30.941494714, 118.744160961 30.941049607, 118.743669333 30.9405009490001)",285.0648651,4689,4660,1.0,4175.0,4175.0
4689_4662,0,S#U#U,4662_4651#4662_4689#4662_4694,"LINESTRING (118.745070627 30.9427514440001, 118.74554534 30.942536497, 118.747288889 30.9417421690001, 118.749196629 30.9408670330001, 118.749514443 30.9407233000001)",480.5193711,4689,4662,1.0,4174.0,4175.0
4690_4742,0,S#L#U,4742_4794#4742_4674#4742_4690,"LINESTRING (118.722518289 30.9430974840001, 118.721985396 30.943967532, 118.721537826 30.9448980450001)",220.7564298,4690,4742,1.0,4166.0,4165.0
4694_4662,0,S#U#U,4662_4651#4662_4689#4662_4694,"LINESTRING (118.748259798 30.9428108720001, 118.749514443 30.9407233000001)",260.6576745,4694,4662,1.0,4174.0,4174.0
4694_4689,3,S#L#U#R,4689_4660#4689_4662#4689_4694#4689_4819,"LINESTRING (118.748259798 30.9428108720001, 118.745070627 30.9427514440001)",304.8323483,4694,4689,1.0,4175.0,4174.0
4697_4651,2,S#L#R#U,4651_4562#4651_4635#4651_4662#4651_4697,"LINESTRING (118.751139743 30.942927324, 118.751263794 30.9402917680001, 118.751313828 30.939949406)",330.6975235,4697,4651,1.0,4175.0,4132.0
4697_4694,3,L#S#U#R,4694_4662#4694_4689#4694_4697#4694_4808,"LINESTRING (118.751139743 30.942927324, 118.748259798 30.9428108720001)",275.5135379,4697,4694,1.0,4174.0,4132.0
4706_4697,3,L#S#U#R,4697_4651#4697_4694#4697_4706#4697_4806,"LINESTRING (118.755423267 30.9431676560001, 118.754388346 30.9431103750001, 118.754036285 30.9430908890001, 118.752410795 30.942999108, 118.751139743 30.942927324)",410.2041032,4706,4697,1.0,4132.0,4133.0
4708_4650,3,S#R#L#U,4650_4624#4650_4690#4650_4630#4650_4708,"LINESTRING (118.729228876 30.9439322490001, 118.728444166 30.9429064720001, 118.727441073 30.941586913, 118.726313278 30.940130266, 118.726312862 30.940129712)",505.3571172,4708,4650,1.0,4163.0,4165.0
4708_4680,3,S#L#R#U,4680_4671#4680_4855#4680_4630#4680_4708,"LINESTRING (118.729228876 30.9439322490001, 118.733071939 30.9426763230001)",392.7569641,4708,4680,1.0,4175.0,4165.0
4713_4674,2,S#L#R#U,4674_4655#4674_4742#4674_4649#4674_4713,"LINESTRING (118.716935851 30.943971881, 118.718252493 30.9425282130001)",203.5898806,4713,4674,1.0,4093.0,4174.0
4713_4794,3,L#S#U#R,4794_4899#4794_9173#4794_4713#4794_4742,"LINESTRING (118.716935851 30.943971881, 118.717504972 30.9444881050001, 118.717912752 30.944845351, 118.718221707 30.9450941540001, 118.718477183 30.9452935630001, 118.718779094 30.945482902, 118.718950325 30.9455902870001, 118.719364453 30.9458376900001, 118.719551674 30.9459354090001, 118.720048576 30.9461673910001, 118.720732459 30.9464968670001)",461.7016593,4713,4794,1.0,4174.0,4174.0
4724_4706,3,S#U#R#L,4706_4697#4706_4724#4706_4835#4706_8355,"LINESTRING (118.762594379 30.943569451, 118.760987371 30.943478466, 118.7588146 30.9433554780001, 118.758674844 30.9433475660001, 118.756518534 30.9432282660001, 118.755423267 30.9431676560001)",686.7227025,4724,4706,1.0,4133.0,4133.0
4732_4634,3,S#R#L#U,4634_4554#4634_4664#4634_4642#4634_4732,"LINESTRING (118.768016088 30.943899801, 118.767990726 30.9431231470001, 118.767438147 30.940624502, 118.766881403 30.938042103)",659.3576459,4732,4634,1.0,4176.0,4175.0
4732_4724,3,S#L#U#R,4724_4706#4724_4664#4724_4732#4724_4863,"LINESTRING (118.768016088 30.943899801, 118.767249575 30.9438800620001, 118.766322915 30.943804647, 118.765495211 30.9437550160001, 118.765388105 30.9437485930001, 118.764733485 30.943709336, 118.764102105 30.943674081, 118.762594379 30.943569451)",519.4864159,4732,4724,1.0,4133.0,4175.0
